Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
83,B. rugiferus',B. rugiferus,19066,19079,6.63,2,NO_ANNOT,,,NoMatch,,,,,,,,
84,B. nesioticus,B. nesioticus,19093,19106,6.94,2,NO_ANNOT,,,NoMatch,,,,,,,,
85,Succinea,Succinea,19152,19160,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
86,Succinea corbis,Succinea corbis,19168,19183,10.26,2,NO_ANNOT,,,Exact,0,Succinea corbis,Succinea corbis,7963068,179,Open Tree of Life,
87,Leptinaria chathamensis,Leptinaria chathamensis,19184,19207,12.84,2,NO_ANNOT,,,Exact,0,"Leptinaria chathamensis Dall, 1892",Leptinaria chathamensis,3TJPJ,1,Catalogue of Life,
88,Leptinaria,Leptinaria,19208,19218,5.02,1,NO_ANNOT,,,Exact,0,"Leptinaria Beck, 1837",Leptinaria,7P77Z,1,Catalogue of Life,
89,Helicina nesiotica.,Helicina nesiotica,19248,19267,11.39,2,NO_ANNOT,,,Exact,0,"Helicina nesiotica Dall, 1892",Helicina nesiotica,3K7SM,1,Catalogue of Life,
90,B. rugiferus,B. rugiferus,19535,19547,6.63,2,NO_ANNOT,,,NoMatch,,,,,,,,
91,Onchidium,Onchidium,19609,19618,5.28,1,NO_ANNOT,,,Exact,0,"Onchidium Buchannan, 1800",Onchidium,7PB8F,1,Catalogue of Life,
92,Onchidium,Onchidium,19702,19711,5.28,1,NO_ANNOT,,,Exact,0,"Onchidium Buchannan, 1800",Onchidium,7PB8F,1,Catalogue of Life,
93,Bulimidus nux,Bulimidus nux,19803,19816,3.20,2,NO_ANNOT,,,Fuzzy,1,Buliminus nux,Buliminus nux,277235,183,Sherborn Index Animalium,
94,B. achatellinus,B. achatellinus,19817,19832,7.23,2,NO_ANNOT,,,NoMatch,,,,,,,,
95,B. rugtdosus,B. rugtdosus,19833,19845,6.77,2,NO_ANNOT,,,NoMatch,,,,,,,,
96,B. nudus,B. nudus,19846,19854,5.26,2,NO_ANNOT,,,NoMatch,,,,,,,,
97,B. planospira,B. planospira,19855,19868,5.37,2,NO_ANNOT,,,NoMatch,,,,,,,,
98,B. eschariferus,B. eschariferus,19882,19897,6.95,2,NO_ANNOT,,,NoMatch,,,,,,,,
99,B. galapaganus,B. galapaganus,19917,19931,7.34,2,NO_ANNOT,,,NoMatch,,,,,,,,
100,B. amastroides,B. amastroides,19980,19994,6.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
101,B. curtus,B. curtus,19995,20004,6.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
102,Vitrea chathamensis,Vitrea chathamensis,20055,20074,11.59,2,NO_ANNOT,,,PartialExact,0,"Vitrea Fitzinger, 1833",Vitrea,7PKVF,1,Catalogue of Life,
103,Conulus galapaganus,Conulus galapaganus,20075,20094,13.17,2,NO_ANNOT,,,Exact,0,"Conulus galapaganus Dall, 1893",Conulus galapaganus,XVW3,1,Catalogue of Life,
