Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
133,A. hyporhyssa,A. hyporhyssa,36296,36309,6.19,2,NO_ANNOT,,,NoMatch,,,,,,,,
134,A. rhyssa,A. rhyssa,36890,36899,5.44,2,NO_ANNOT,,,NoMatch,,,,,,,,
135,Ashmunella rhyssa townsendi,Ashmunella rhyssa townsendi,39784,39811,15.99,3,NO_ANNOT,,,PartialExact,0,"Ashmunella townsendi Bartsch, 1904",Ashmunella townsendi,7Q8GY,1,Catalogue of Life,
136,AshmuneUa townsendi,Ashmuneua townsendi,39821,39840,2.86,2,NO_ANNOT,,,NoMatch,,,,,,,,
137,A. rhyssa,A. rhyssa,39951,39960,5.44,2,NO_ANNOT,,,NoMatch,,,,,,,,
138,A. rhyssa,A. rhyssa,40257,40266,5.44,2,NO_ANNOT,,,NoMatch,,,,,,,,
139,Ashmunella altissima,Ashmunella altissima,40577,40597,13.08,2,NO_ANNOT,,,Exact,0,"Ashmunella altissima (Cockerell, 1898)",Ashmunella altissima,7Q8DZ,1,Catalogue of Life,
140,Polygyra altissima,Polygyra altissima,40623,40641,11.48,2,NO_ANNOT,,,Exact,0,"Polygyra altissima Cockerell, 1898",Polygyra altissima,7SSCQ,1,Catalogue of Life,
141,Ashmunella altissima,Ashmunella altissima,40681,40701,13.08,2,NO_ANNOT,,,Exact,0,"Ashmunella altissima (Cockerell, 1898)",Ashmunella altissima,7Q8DZ,1,Catalogue of Life,
142,Ashmunella pseudodonta,Ashmunella pseudodonta,41937,41959,13.16,2,NO_ANNOT,,,Exact,0,"Ashmunella pseudodonta (Dall, 1897)",Ashmunella pseudodonta,7Q8GM,1,Catalogue of Life,
143,Polygyra pseudodonta,Polygyra pseudodonta,41993,42013,11.55,2,NO_ANNOT,,,Exact,0,"Polygyra pseudodonta Dall, 1897",Polygyra pseudodonta,7SSF7,1,Catalogue of Life,
