Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
107,"Crabro,",Crabro,32430,32437,3.27,1,NO_ANNOT,,,Exact,0,"Crabro Fabricius, 1775",Crabro,3V4L,1,Catalogue of Life,
108,SYNIDOTEA.,Synidotea,32524,32534,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
109,Synidotea,Synidotea,32666,32675,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
110,Synidotea,Synidotea,33749,33758,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
111,Idotea bieuspida,Idotea bieuspida,33803,33819,6.41,2,NO_ANNOT,,,Fuzzy,1,"Idotea bicuspida Owen, 1839",Idotea bicuspida,6N5D8,1,Catalogue of Life,
112,SYNIDOTEA,Synidotea,35549,35558,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
113,Synidotea,Synidotea,35567,35576,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
114,Edotia,Edotia,35636,35642,4.58,1,NO_ANNOT,,,Exact,0,"Edotia Guérin-Méneville, 1843",Edotia,7NY67,1,Catalogue of Life,
115,Synidotea,Synidotea,35703,35712,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
116,Synidotea,Synidotea,35784,35793,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
117,Edotia,Edotia,36268,36274,4.58,1,NO_ANNOT,,,Exact,0,"Edotia Guérin-Méneville, 1843",Edotia,7NY67,1,Catalogue of Life,
118,Edotia,Edotia,36307,36313,4.58,1,NO_ANNOT,,,Exact,0,"Edotia Guérin-Méneville, 1843",Edotia,7NY67,1,Catalogue of Life,
119,(Synidotea).,Synidotea,36445,36457,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
120,(Edotia).,Edotia,36543,36552,4.58,1,NO_ANNOT,,,Exact,0,"Edotia Guérin-Méneville, 1843",Edotia,7NY67,1,Catalogue of Life,
121,Epelys.,Epelys,36633,36640,3.27,1,NO_ANNOT,,,Exact,0,"Epelys Dana, 1849",Epelys,urn:lsid:marinespecies.org:taxname:325468,9,WoRMS,
122,"Synidotea,",Synidotea,36717,36727,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
123,Synidotea bicuspida,Synidotea bicuspida,38017,38036,12.15,2,NO_ANNOT,,,Exact,0,"Synidotea bicuspida (Owen, 1839)",Synidotea bicuspida,53X99,1,Catalogue of Life,
124,Idotea bicuspida,Idotea bicuspida,38053,38069,11.44,2,NO_ANNOT,,,Exact,0,"Idotea bicuspida Owen, 1839",Idotea bicuspida,6N5D8,1,Catalogue of Life,
