Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
161,Centrias,Centrias,77574,77582,5.33,1,NO_ANNOT,,,Exact,0,"Centrias Robertson, 1903",Centrias,urn:lsid:irmng.org:taxname:1445876,181,IRMNG,
162,Gnathias,Gnathias,78066,78074,5.33,1,NO_ANNOT,,,Exact,0,"Gnathias Robertson, 1903",Gnathias,urn:lsid:irmng.org:taxname:1125521,181,IRMNG,
163,Nomada,Nomada,78079,78085,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
164,N. articulata,N. articulata,78246,78259,7.68,2,NO_ANNOT,,,NoMatch,,,,,,,,
165,Centrias.,Centrias,78357,78366,5.33,1,NO_ANNOT,,,Exact,0,"Centrias Robertson, 1903",Centrias,urn:lsid:irmng.org:taxname:1445876,181,IRMNG,
166,A.␤articulata,A. articulata,78462,78475,7.68,2,NO_ANNOT,,,NoMatch,,,,,,,,
167,Nomada americana,Nomada americana,78950,78966,5.70,2,SUBSP_NOV,,,Exact,0,Nomada americana,Nomada americana,75841,183,Sherborn Index Animalium,
168,Nomada rubicunda,Nomada rubicunda,79549,79565,8.53,2,NO_ANNOT,,,Exact,0,"Nomada rubicunda Olivier, 1811",Nomada rubicunda,47NGH,1,Catalogue of Life,
169,Centrias.,Centrias,79588,79597,5.33,1,NO_ANNOT,,,Exact,0,"Centrias Robertson, 1903",Centrias,urn:lsid:irmng.org:taxname:1445876,181,IRMNG,
170,Nomada,Nomada,79942,79948,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
171,Heminomada obliterata,Heminomada obliterata,79949,79970,11.00,2,NO_ANNOT,,,Exact,0,"Heminomada obliterata (Cresson, 1863)",Heminomada obliterata,'25880052',7,Union 4,
172,A.␤vierecki crucis,A. vierecki crucis,81565,81583,8.80,3,NO_ANNOT,,,NoMatch,,,,,,,,
173,A.␤suavis,A. suavis,81695,81704,5.48,2,NO_ANNOT,,,NoMatch,,,,,,,,
174,A.␤fragilis,A. fragilis,81777,81788,6.80,2,NO_ANNOT,,,NoMatch,,,,,,,,
