Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
131,Crustacea,Crustacea,36848,36857,4.98,1,NO_ANNOT,,,Exact,0,"Crustacea Brünnich, 1772",Crustacea,83677,3,ITIS,
132,Idotea pulchra,Idotea pulchra,36905,36919,9.87,2,NO_ANNOT,,,Exact,0,"Idotea pulchra Lockington, 1877",Idotea pulchra,6N5DT,1,Catalogue of Life,
133,Edotia bicuspida,Edotia bicuspida,36969,36985,11.59,2,NO_ANNOT,,,Exact,0,Edotia bicuspida (Owen),Edotia bicuspida,gn_64250,186,MCZbase,
134,Synidotea bicuspida,Synidotea bicuspida,37054,37073,12.15,2,NO_ANNOT,,,Exact,0,"Synidotea bicuspida (Owen, 1839)",Synidotea bicuspida,53X99,1,Catalogue of Life,
135,Crustacea,Crustacea,37079,37088,4.98,1,NO_ANNOT,,,Exact,0,"Crustacea Brünnich, 1772",Crustacea,83677,3,ITIS,
136,Synidotea incisa,Synidotea incisa,37159,37175,10.30,2,NO_ANNOT,,,Exact,0,"Synidotea incisa G. O. Sars, 1879",Synidotea incisa,53X9W,1,Catalogue of Life,
137,Crustacea,Crustacea,37181,37190,4.98,1,NO_ANNOT,,,Exact,0,"Crustacea Brünnich, 1772",Crustacea,83677,3,ITIS,
138,Pycnogonida,Pycnogonida,37194,37205,2.66,1,NO_ANNOT,,,Exact,0,Pycnogonida,Pycnogonida,H8,1,Catalogue of Life,
139,Synidotea bicuspida,Synidotea bicuspida,37241,37260,12.15,2,NO_ANNOT,,,Exact,0,"Synidotea bicuspida (Owen, 1839)",Synidotea bicuspida,53X99,1,Catalogue of Life,
140,S. marmorata,S. marmorata,37514,37526,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
141,S. consolidata,S. consolidata,37569,37583,7.99,2,NO_ANNOT,,,NoMatch,,,,,,,,
142,Synidotea marmorata,Synidotea marmorata,37812,37831,13.03,2,NO_ANNOT,,,Exact,0,"Synidotea marmorata (Packard, 1867)",Synidotea marmorata,7B9XN,1,Catalogue of Life,
143,Idotsea marmorata,Idotsea marmorata,37849,37866,5.94,2,NO_ANNOT,,,Fuzzy,1,"Idotea marmorata Packard, 1867",Idotea marmorata,6N5CM,1,Catalogue of Life,
144,Idotea,Idotea,37984,37990,4.42,1,NO_ANNOT,,,Exact,0,"Idotea Fabricius, 1798",Idotea,7P6ZD,1,Catalogue of Life,
145,I. bicuspida,I. bicuspida,38009,38021,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
146,IdotJiea rugulosa,Idotjiea rugulosa,38085,38102,5.29,2,NO_ANNOT,,,NoMatch,,,,,,,,
147,Synidotea,Synidotea,38156,38165,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
148,Edotia bicuspida,Edotia bicuspida,38287,38303,11.59,2,NO_ANNOT,,,Exact,0,Edotia bicuspida (Owen),Edotia bicuspida,gn_64250,186,MCZbase,
149,S. bicuspida,S. bicuspida,38781,38793,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
150,Synidotea marmorata,Synidotea marmorata,39045,39064,13.03,2,NO_ANNOT,,,Exact,0,"Synidotea marmorata (Packard, 1867)",Synidotea marmorata,7B9XN,1,Catalogue of Life,
